"metro","gcid","Category","order","Day"
"Phoenix","hamburger_restaurant","food",1,"Friday"
"Portland","donut_shop","food",1,"Friday"
"Portland","grocery_store","food",2,"Friday"
"San Diego","hamburger_restaurant","food",1,"Friday"
"San Diego","pizza_restaurant","food",2,"Friday"
"San Francisco","chinese_restaurant","food",1,"Friday"
"St. Louis","bar","food",1,"Friday"
"St. Louis","pizza_restaurant","food",2,"Friday"
"St. Louis","american_restaurant","food",3,"Friday"
"St. Louis","grocery_store","food",4,"Friday"
"Atlanta","liquor_store","food",1,"Overall"
"Atlanta","grocery_store","food",2,"Overall"
"Baltimore","supermarket","food",1,"Overall"
"Baltimore","wine_store","food",2,"Overall"
"Baltimore","chinese_restaurant","food",3,"Overall"
"Bay Area","asian_grocery_store","food",1,"Overall"
"Bay Area","chinese_restaurant","food",2,"Overall"
"Boston","chinese_restaurant","food",1,"Overall"
"Chicago","chinese_restaurant","food",1,"Overall"
"Chicago","market","food",2,"Overall"
"Chicago","japanese_restaurant","food",3,"Overall"
"Chicago","pizza_restaurant","food",4,"Overall"
"Chicago","indian_restaurant","food",5,"Overall"
"Cleveland","supermarket","food",1,"Overall"
"Dallas","american_restaurant","food",1,"Overall"
"Dallas","liquor_store","food",2,"Overall"
"Dallas","bar","food",3,"Overall"
"Dallas","sports_bar","food",4,"Overall"
"Dallas","indian_restaurant","food",5,"Overall"
"Detroit","bar","food",1,"Overall"
"Detroit","grocery_store","food",2,"Overall"
"Detroit","american_restaurant","food",3,"Overall"
"Houston","liquor_store","food",1,"Overall"
"Houston","barbecue_restaurant","food",2,"Overall"
"Houston","bar","food",3,"Overall"
"Houston","sports_bar","food",4,"Overall"
"Houston","american_restaurant","food",5,"Overall"
"Los Angeles","korean_restaurant","food",1,"Overall"
"Los Angeles","taiwanese_restaurant","food",2,"Overall"
"Los Angeles","bakery","food",3,"Overall"
"Los Angeles","seafood_restaurant","food",4,"Overall"
"Los Angeles","chinese_restaurant","food",5,"Overall"
"Miami","bar","food",1,"Overall"
"Miami","liquor_store","food",2,"Overall"
"Miami","bakery","food",3,"Overall"
"Miami","american_restaurant","food",4,"Overall"
"Minneapolis","supermarket","food",1,"Overall"
"New York","chinese_restaurant","food",1,"Overall"
"New York","ramen_restaurant","food",2,"Overall"
"New York","bakery","food",3,"Overall"
"New York","bagel_shop","food",4,"Overall"
"New York","japanese_restaurant","food",5,"Overall"
"Orlando","american_restaurant","food",1,"Overall"
"Orlando","supermarket","food",2,"Overall"
"Philadelphia","liquor_store","food",1,"Overall"
"Philadelphia","produce_market","food",2,"Overall"
"Philadelphia","bar","food",3,"Overall"
"Philadelphia","american_restaurant","food",4,"Overall"
"Phoenix","supermarket","food",1,"Overall"
"Phoenix","grocery_store","food",2,"Overall"
"Portland","donut_shop","food",1,"Overall"
"San Diego","grocery_store","food",1,"Overall"
"San Francisco","chinese_restaurant","food",1,"Overall"
"St. Louis","bar","food",1,"Overall"
"St. Louis","pizza_restaurant","food",2,"Overall"
"St. Louis","american_restaurant","food",3,"Overall"
"Atlanta","movie_theater","entertainment",1,"Wednesday"
"Austin","park","entertainment",1,"Wednesday"
"Baltimore","movie_theater","entertainment",1,"Wednesday"
"Bay Area","movie_theater","entertainment",1,"Wednesday"
"Chicago","live_music_venue","entertainment",1,"Wednesday"
"Chicago","night_club","entertainment",2,"Wednesday"
"Chicago","museum","entertainment",3,"Wednesday"
"Chicago","movie_theater","entertainment",4,"Wednesday"
"Cleveland","movie_theater","entertainment",1,"Wednesday"
"Dallas","stadium","entertainment",1,"Wednesday"
"Dallas","movie_theater","entertainment",2,"Wednesday"
"Dallas","park","entertainment",3,"Wednesday"
"Denver","park","entertainment",1,"Wednesday"
"Denver","movie_theater","entertainment",2,"Wednesday"
"Detroit","movie_theater","entertainment",1,"Wednesday"
"Houston","night_club","entertainment",1,"Wednesday"
"Houston","movie_theater","entertainment",2,"Wednesday"
"Los Angeles","historical_landmark","entertainment",1,"Wednesday"
"Los Angeles","night_club","entertainment",2,"Wednesday"
"Los Angeles","golf_course","entertainment",3,"Wednesday"
"Miami","night_club","entertainment",1,"Wednesday"
"Minneapolis","ice_skating_rink","entertainment",1,"Wednesday"
"New York","park","entertainment",1,"Wednesday"
"New York","spa","entertainment",2,"Wednesday"
"New York","plaza","entertainment",3,"Wednesday"
"New York","bowling_alley","entertainment",4,"Wednesday"
"Orlando","tourist_attraction","entertainment",1,"Wednesday"
"Philadelphia","park","entertainment",1,"Wednesday"
"San Diego","park","entertainment",1,"Wednesday"
"San Francisco","park","entertainment",1,"Wednesday"
"Atlanta","movie_theater","entertainment",1,"Thursday"
"Bay Area","park","entertainment",1,"Thursday"
"Bay Area","movie_theater","entertainment",2,"Thursday"
"Chicago","night_club","entertainment",1,"Thursday"
"Chicago","museum","entertainment",2,"Thursday"
"Chicago","live_music_venue","entertainment",3,"Thursday"
"Cleveland","movie_theater","entertainment",1,"Thursday"
"Dallas","stadium","entertainment",1,"Thursday"
"Dallas","park","entertainment",2,"Thursday"
"Denver","park","entertainment",1,"Thursday"
"Houston","night_club","entertainment",1,"Thursday"
"Houston","movie_theater","entertainment",2,"Thursday"
"Los Angeles","historical_landmark","entertainment",1,"Thursday"
"Los Angeles","golf_course","entertainment",2,"Thursday"
"Miami","night_club","entertainment",1,"Thursday"
"Minneapolis","movie_theater","entertainment",1,"Thursday"
"New York","spa","entertainment",1,"Thursday"
"New York","ice_skating_rink","entertainment",2,"Thursday"
"New York","plaza","entertainment",3,"Thursday"
"San Diego","park","entertainment",1,"Thursday"
"San Francisco","park","entertainment",1,"Thursday"
"Seattle","movie_theater","entertainment",1,"Thursday"
"Atlanta","movie_theater","entertainment",1,"Friday"
"Baltimore","movie_theater","entertainment",1,"Friday"
"Boston","movie_theater","entertainment",1,"Friday"
"Chicago","live_music_venue","entertainment",1,"Friday"
"Chicago","night_club","entertainment",2,"Friday"
"Chicago","museum","entertainment",3,"Friday"
"Cleveland","movie_theater","entertainment",1,"Friday"
"Dallas","stadium","entertainment",1,"Friday"
"Dallas","park","entertainment",2,"Friday"
"Denver","park","entertainment",1,"Friday"
"Detroit","movie_theater","entertainment",1,"Friday"
"Houston","night_club","entertainment",1,"Friday"
"Houston","movie_theater","entertainment",2,"Friday"
"Los Angeles","historical_landmark","entertainment",1,"Friday"
"Miami","night_club","entertainment",1,"Friday"
"Minneapolis","ice_skating_rink","entertainment",1,"Friday"
"New York","plaza","entertainment",1,"Friday"
"New York","bowling_alley","entertainment",2,"Friday"
"New York","spa","entertainment",3,"Friday"
"New York","night_club","entertainment",4,"Friday"
"Philadelphia","movie_theater","entertainment",1,"Friday"
"Portland","park","entertainment",1,"Friday"
"San Francisco","park","entertainment",1,"Friday"
"Seattle","park","entertainment",1,"Friday"
"Atlanta","movie_theater","entertainment",1,"Overall"
"Chicago","live_music_venue","entertainment",1,"Overall"
"Chicago","night_club","entertainment",2,"Overall"
"Chicago","museum","entertainment",3,"Overall"
"Cleveland","movie_theater","entertainment",1,"Overall"
"Dallas","stadium","entertainment",1,"Overall"
"Dallas","park","entertainment",2,"Overall"
"Dallas","movie_theater","entertainment",3,"Overall"
"Denver","park","entertainment",1,"Overall"
"Detroit","movie_theater","entertainment",1,"Overall"
"Houston","night_club","entertainment",1,"Overall"
"Houston","movie_theater","entertainment",2,"Overall"
"Los Angeles","historical_landmark","entertainment",1,"Overall"
"Los Angeles","golf_course","entertainment",2,"Overall"
"Miami","night_club","entertainment",1,"Overall"
"Minneapolis","ice_skating_rink","entertainment",1,"Overall"
"New York","spa","entertainment",1,"Overall"
"New York","plaza","entertainment",2,"Overall"
"New York","bowling_alley","entertainment",3,"Overall"
"Philadelphia","park","entertainment",1,"Overall"
"San Francisco","park","entertainment",1,"Overall"
"Atlanta","furniture_store","shopping",1,"Wednesday"
"Atlanta","department_store","shopping",2,"Wednesday"
"Atlanta","clothing_store","shopping",3,"Wednesday"
"Atlanta","cell_phone_store","shopping",4,"Wednesday"
"Baltimore","furniture_store","shopping",1,"Wednesday"
"Baltimore","cell_phone_store","shopping",2,"Wednesday"
"Baltimore","shopping_center","shopping",3,"Wednesday"
"Baltimore","discount_store","shopping",4,"Wednesday"
"Baltimore","department_store","shopping",5,"Wednesday"
"Bay Area","sporting_goods_store","shopping",1,"Wednesday"
"Bay Area","furniture_store","shopping",2,"Wednesday"
"Bay Area","electronics_store","shopping",3,"Wednesday"
"Bay Area","shopping_center","shopping",4,"Wednesday"
"Bay Area","discount_store","shopping",5,"Wednesday"
"Boston","clothing_store","shopping",1,"Wednesday"
"Boston","cell_phone_store","shopping",2,"Wednesday"
"Boston","electronics_store","shopping",3,"Wednesday"
"Boston","department_store","shopping",4,"Wednesday"
"Charlotte","department_store","shopping",1,"Wednesday"
"Chicago","shopping_center","shopping",1,"Wednesday"
"Chicago","furniture_store","shopping",2,"Wednesday"
"Chicago","shoe_store","shopping",3,"Wednesday"
"Chicago","discount_store","shopping",4,"Wednesday"
"Chicago","electronics_store","shopping",5,"Wednesday"
"Dallas","furniture_store","shopping",1,"Wednesday"
"Dallas","shoe_store","shopping",2,"Wednesday"
"Dallas","shopping_center","shopping",3,"Wednesday"
"Dallas","sporting_goods_store","shopping",4,"Wednesday"
"Dallas","electronics_store","shopping",5,"Wednesday"
"Denver","electronics_store","shopping",1,"Wednesday"
"Denver","shopping_center","shopping",2,"Wednesday"
"Detroit","shopping_center","shopping",1,"Wednesday"
"Detroit","electronics_store","shopping",2,"Wednesday"
"Houston","sporting_goods_store","shopping",1,"Wednesday"
"Houston","furniture_store","shopping",2,"Wednesday"
"Houston","clothing_store","shopping",3,"Wednesday"
"Houston","shopping_center","shopping",4,"Wednesday"
"Houston","electronics_store","shopping",5,"Wednesday"
"Kansas City","shopping_center","shopping",1,"Wednesday"
"Kansas City","department_store","shopping",2,"Wednesday"
"Los Angeles","shoe_store","shopping",1,"Wednesday"
"Los Angeles","shopping_center","shopping",2,"Wednesday"
"Los Angeles","warehouse_store","shopping",3,"Wednesday"
"Miami","cell_phone_store","shopping",1,"Wednesday"
"Minneapolis","home_improvement_store","shopping",1,"Wednesday"
"New York","store","shopping",1,"Wednesday"
"New York","jewelry_store","shopping",2,"Wednesday"
"New York","clothing_store","shopping",3,"Wednesday"
"New York","video_game_store","shopping",4,"Wednesday"
"New York","shopping_center","shopping",5,"Wednesday"
"Orlando","department_store","shopping",1,"Wednesday"
"Orlando","electronics_store","shopping",2,"Wednesday"
"Orlando","drugstore","shopping",3,"Wednesday"
"Orlando","clothing_store","shopping",4,"Wednesday"
"Philadelphia","electronics_store","shopping",1,"Wednesday"
"Philadelphia","clothing_store","shopping",2,"Wednesday"
"Philadelphia","shopping_center","shopping",3,"Wednesday"
"Phoenix","electronics_store","shopping",1,"Wednesday"
"Portland","electronics_store","shopping",1,"Wednesday"
"San Francisco","shopping_center","shopping",1,"Wednesday"
"Seattle","furniture_store","shopping",1,"Wednesday"
"Seattle","electronics_store","shopping",2,"Wednesday"
"Atlanta","department_store","shopping",1,"Thursday"
"Atlanta","electronics_store","shopping",2,"Thursday"
"Atlanta","furniture_store","shopping",3,"Thursday"
"Baltimore","furniture_store","shopping",1,"Thursday"
"Baltimore","discount_store","shopping",2,"Thursday"
"Baltimore","electronics_store","shopping",3,"Thursday"
"Baltimore","sporting_goods_store","shopping",4,"Thursday"
"Bay Area","discount_store","shopping",1,"Thursday"
"Bay Area","shopping_center","shopping",2,"Thursday"
"Bay Area","cell_phone_store","shopping",3,"Thursday"
"Bay Area","electronics_store","shopping",4,"Thursday"
"Charlotte","shopping_center","shopping",1,"Thursday"
"Charlotte","department_store","shopping",2,"Thursday"
"Chicago","shopping_center","shopping",1,"Thursday"
"Chicago","discount_store","shopping",2,"Thursday"
"Chicago","electronics_store","shopping",3,"Thursday"
"Chicago","furniture_store","shopping",4,"Thursday"
"Chicago","home_improvement_store","shopping",5,"Thursday"
"Cleveland","department_store","shopping",1,"Thursday"
"Dallas","furniture_store","shopping",1,"Thursday"
"Dallas","department_store","shopping",2,"Thursday"
"Dallas","shoe_store","shopping",3,"Thursday"
"Dallas","electronics_store","shopping",4,"Thursday"
"Dallas","shopping_center","shopping",5,"Thursday"
"Detroit","shopping_center","shopping",1,"Thursday"
"Detroit","home_improvement_store","shopping",2,"Thursday"
"Detroit","department_store","shopping",3,"Thursday"
"Detroit","electronics_store","shopping",4,"Thursday"
"Houston","furniture_store","shopping",1,"Thursday"
"Houston","clothing_store","shopping",2,"Thursday"
"Houston","cell_phone_store","shopping",3,"Thursday"
"Houston","shopping_center","shopping",4,"Thursday"
"Houston","department_store","shopping",5,"Thursday"
"Kansas City","department_store","shopping",1,"Thursday"
"Los Angeles","pet_supply_store","shopping",1,"Thursday"
"Los Angeles","womens_clothing_store","shopping",2,"Thursday"
"Los Angeles","cell_phone_store","shopping",3,"Thursday"
"Miami","cell_phone_store","shopping",1,"Thursday"
"Miami","clothing_store","shopping",2,"Thursday"
"Minneapolis","electronics_store","shopping",1,"Thursday"
"New York","jewelry_store","shopping",1,"Thursday"
"New York","shopping_center","shopping",2,"Thursday"
"New York","store","shopping",3,"Thursday"
"New York","cell_phone_store","shopping",4,"Thursday"
"New York","video_game_store","shopping",5,"Thursday"
"Orlando","clothing_store","shopping",1,"Thursday"
"Orlando","drugstore","shopping",2,"Thursday"
"Orlando","department_store","shopping",3,"Thursday"
"Orlando","electronics_store","shopping",4,"Thursday"
"Philadelphia","electronics_store","shopping",1,"Thursday"
"Philadelphia","discount_store","shopping",2,"Thursday"
"Philadelphia","shopping_center","shopping",3,"Thursday"
"Phoenix","department_store","shopping",1,"Thursday"
"Phoenix","furniture_store","shopping",2,"Thursday"
"Pittsburgh","shopping_center","shopping",1,"Thursday"
"Portland","electronics_store","shopping",1,"Thursday"
"Portland","department_store","shopping",2,"Thursday"
"Portland","shopping_center","shopping",3,"Thursday"
"Seattle","electronics_store","shopping",1,"Thursday"
"St. Louis","department_store","shopping",1,"Thursday"
"Atlanta","sporting_goods_store","shopping",1,"Friday"
"Baltimore","electronics_store","shopping",1,"Friday"
"Baltimore","cell_phone_store","shopping",2,"Friday"
"Bay Area","shopping_center","shopping",1,"Friday"
"Bay Area","discount_store","shopping",2,"Friday"
"Bay Area","department_store","shopping",3,"Friday"
"Boston","electronics_store","shopping",1,"Friday"
"Boston","discount_store","shopping",2,"Friday"
"Boston","department_store","shopping",3,"Friday"
"Boston","shopping_center","shopping",4,"Friday"
"Boston","clothing_store","shopping",5,"Friday"
"Chicago","shopping_center","shopping",1,"Friday"
"Chicago","shoe_store","shopping",2,"Friday"
"Chicago","home_improvement_store","shopping",3,"Friday"
"Chicago","clothing_store","shopping",4,"Friday"
"Chicago","electronics_store","shopping",5,"Friday"
"Cleveland","department_store","shopping",1,"Friday"
"Cleveland","shopping_center","shopping",2,"Friday"
"Dallas","furniture_store","shopping",1,"Friday"
"Dallas","home_goods_store","shopping",2,"Friday"
"Dallas","shopping_center","shopping",3,"Friday"
"Dallas","shoe_store","shopping",4,"Friday"
"Dallas","convenience_store","shopping",5,"Friday"
"Detroit","shopping_center","shopping",1,"Friday"
"Detroit","home_improvement_store","shopping",2,"Friday"
"Detroit","department_store","shopping",3,"Friday"
"Detroit","electronics_store","shopping",4,"Friday"
"Houston","furniture_store","shopping",1,"Friday"
"Kansas City","shopping_center","shopping",1,"Friday"
"Kansas City","department_store","shopping",2,"Friday"
"Los Angeles","sporting_goods_store","shopping",1,"Friday"
"Miami","department_store","shopping",1,"Friday"
"Minneapolis","home_improvement_store","shopping",1,"Friday"
"Minneapolis","clothing_store","shopping",2,"Friday"
"Minneapolis","department_store","shopping",3,"Friday"
"Minneapolis","electronics_store","shopping",4,"Friday"
"New York","shopping_center","shopping",1,"Friday"
"New York","store","shopping",2,"Friday"
"New York","lingerie_store","shopping",3,"Friday"
"New York","department_store","shopping",4,"Friday"
"New York","clothing_store","shopping",5,"Friday"
"Orlando","drugstore","shopping",1,"Friday"
"Orlando","electronics_store","shopping",2,"Friday"
"Orlando","clothing_store","shopping",3,"Friday"
"Philadelphia","electronics_store","shopping",1,"Friday"
"Philadelphia","shopping_center","shopping",2,"Friday"
"Philadelphia","department_store","shopping",3,"Friday"
"Philadelphia","discount_store","shopping",4,"Friday"
"Philadelphia","clothing_store","shopping",5,"Friday"
"Phoenix","furniture_store","shopping",1,"Friday"
"Pittsburgh","department_store","shopping",1,"Friday"
"Pittsburgh","shopping_center","shopping",2,"Friday"
"Portland","electronics_store","shopping",1,"Friday"
"Portland","department_store","shopping",2,"Friday"
"Portland","clothing_store","shopping",3,"Friday"
"Portland","shopping_center","shopping",4,"Friday"
"San Francisco","shopping_center","shopping",1,"Friday"
"San Francisco","clothing_store","shopping",2,"Friday"
"Seattle","electronics_store","shopping",1,"Friday"
"Seattle","department_store","shopping",2,"Friday"
"St. Louis","shopping_center","shopping",1,"Friday"
"Atlanta","department_store","shopping",1,"Overall"
"Atlanta","furniture_store","shopping",2,"Overall"
"Atlanta","electronics_store","shopping",3,"Overall"
"Atlanta","cell_phone_store","shopping",4,"Overall"
"Baltimore","electronics_store","shopping",1,"Overall"
"Baltimore","cell_phone_store","shopping",2,"Overall"
"Baltimore","discount_store","shopping",3,"Overall"
"Bay Area","discount_store","shopping",1,"Overall"
"Bay Area","shopping_center","shopping",2,"Overall"
"Bay Area","electronics_store","shopping",3,"Overall"
"Boston","discount_store","shopping",1,"Overall"
"Boston","clothing_store","shopping",2,"Overall"
"Charlotte","shopping_center","shopping",1,"Overall"
"Chicago","shopping_center","shopping",1,"Overall"
"Chicago","discount_store","shopping",2,"Overall"
"Chicago","shoe_store","shopping",3,"Overall"
"Chicago","electronics_store","shopping",4,"Overall"
"Chicago","home_improvement_store","shopping",5,"Overall"
"Cleveland","department_store","shopping",1,"Overall"
"Dallas","furniture_store","shopping",1,"Overall"
"Dallas","shoe_store","shopping",2,"Overall"
"Dallas","shopping_center","shopping",3,"Overall"
"Dallas","department_store","shopping",4,"Overall"
"Dallas","sporting_goods_store","shopping",5,"Overall"
"Detroit","shopping_center","shopping",1,"Overall"
"Detroit","department_store","shopping",2,"Overall"
"Detroit","home_improvement_store","shopping",3,"Overall"
"Detroit","electronics_store","shopping",4,"Overall"
"Houston","furniture_store","shopping",1,"Overall"
"Kansas City","shopping_center","shopping",1,"Overall"
"Kansas City","department_store","shopping",2,"Overall"
"Minneapolis","home_improvement_store","shopping",1,"Overall"
"Minneapolis","electronics_store","shopping",2,"Overall"
"Minneapolis","clothing_store","shopping",3,"Overall"
"New York","shopping_center","shopping",1,"Overall"
"New York","store","shopping",2,"Overall"
"New York","jewelry_store","shopping",3,"Overall"
"New York","clothing_store","shopping",4,"Overall"
"New York","lingerie_store","shopping",5,"Overall"
"Orlando","drugstore","shopping",1,"Overall"
"Orlando","clothing_store","shopping",2,"Overall"
"Orlando","electronics_store","shopping",3,"Overall"
"Orlando","department_store","shopping",4,"Overall"
"Philadelphia","electronics_store","shopping",1,"Overall"
"Philadelphia","shopping_center","shopping",2,"Overall"
"Philadelphia","discount_store","shopping",3,"Overall"
"Philadelphia","clothing_store","shopping",4,"Overall"
"Philadelphia","department_store","shopping",5,"Overall"
"Phoenix","furniture_store","shopping",1,"Overall"
"Phoenix","department_store","shopping",2,"Overall"
"Pittsburgh","shopping_center","shopping",1,"Overall"
"Pittsburgh","department_store","shopping",2,"Overall"
"Portland","electronics_store","shopping",1,"Overall"
"Portland","department_store","shopping",2,"Overall"
"Portland","clothing_store","shopping",3,"Overall"
"Portland","shopping_center","shopping",4,"Overall"
"San Francisco","shopping_center","shopping",1,"Overall"
"Seattle","electronics_store","shopping",1,"Overall"
"St. Louis","department_store","shopping",1,"Overall"
